Fecha,Gas87,Gas91,Diesel
2017-09-11,15.76,17.63,16.74
2017-09-12,15.76,17.64,16.74
2017-09-13,15.77,17.65,16.74
2017-09-14,15.78,17.65,16.76
2017-09-15,15.78,17.65,16.77
2017-09-16,15.78,17.65,16.78
2017-09-17,15.78,17.65,16.78
2017-09-18,15.78,17.65,16.78
2017-09-19,15.8,17.66,16.8
2017-09-20,15.81,17.67,16.8
2017-09-21,15.81,17.66,16.8
2017-09-22,15.81,17.67,16.81
2017-09-23,15.82,17.66,16.82
2017-09-24,15.82,17.66,16.83
2017-09-25,15.82,17.66,16.83
2017-09-26,15.83,17.67,16.84
2017-09-27,15.86,17.69,16.87
2017-09-28,15.87,17.7,16.88
2017-09-29,15.87,17.7,16.9
2017-09-30,15.88,17.71,16.91
2017-10-01,15.88,17.71,16.91
2017-10-02,15.88,17.71,16.91
2017-10-03,15.87,17.7,16.91
2017-10-04,15.86,17.69,16.91
2017-10-05,15.87,17.7,16.91
2017-10-06,15.89,17.72,16.93
2017-10-07,15.92,17.74,16.95
2017-10-08,15.92,17.74,16.95
2017-10-09,15.92,17.74,16.95
2017-10-10,15.91,17.74,16.95
2017-10-11,15.92,17.75,16.96
2017-10-12,15.95,17.77,16.98
2017-10-13,15.95,17.76,16.99
2017-10-14,15.94,17.75,16.98
2017-10-15,15.94,17.75,16.98
2017-10-16,15.94,17.75,16.98
2017-10-17,15.94,17.76,16.98
2017-10-18,15.94,17.75,16.98
2017-10-19,15.93,17.74,16.98
2017-10-20,15.91,17.73,16.96
2017-10-21,15.89,17.71,16.95
2017-10-22,15.89,17.71,16.95
2017-10-23,15.89,17.71,16.95
2017-10-24,15.9,17.73,16.96
2017-10-25,15.92,17.75,16.96
2017-10-26,15.92,17.76,16.97
2017-10-27,15.93,17.77,16.97
2017-10-28,15.95,17.77,16.99
2017-10-29,15.95,17.77,16.99
2017-10-30,15.95,17.77,16.99
2017-10-31,15.96,17.78,17.01
2017-11-01,15.96,17.78,17.01
2017-11-02,15.97,17.79,17.02
2017-11-03,15.97,17.8,17.01
2017-11-04,15.98,17.8,17.01
2017-11-05,15.98,17.8,17.01
2017-11-06,15.98,17.8,17.01
2017-11-07,16,17.83,17.03
2017-11-08,16.02,17.85,17.06
2017-11-09,16.02,17.85,17.06
2017-11-10,16.03,17.87,17.07
2017-11-11,16.04,17.89,17.09
2017-11-12,16.04,17.89,17.09
2017-11-13,16.04,17.89,17.09
2017-11-14,16.04,17.89,17.09
2017-11-15,16.04,17.89,17.1
2017-11-16,16.03,17.88,17.09
2017-11-17,16.02,17.86,17.1
2017-11-18,16.01,17.85,17.11
2017-11-19,16.01,17.85,17.11
2017-11-20,16.01,17.85,17.11
2017-11-21,16.02,17.87,17.12
2017-11-22,16.02,17.87,17.12
2017-11-23,16.04,17.86,17.12
2017-11-24,16.04,17.86,17.12
2017-11-25,16.04,17.86,17.12
2017-11-26,16.04,17.86,17.12
2017-11-27,16.04,17.86,17.12
2017-11-28,16.04,17.86,17.12
2017-11-29,16.04,17.87,17.12
2017-11-30,16.05,17.88,17.13
2017-12-01,16.07,17.89,17.15
2017-12-02,16.08,17.91,17.17
2017-12-03,16.08,17.91,17.17
2017-12-04,16.08,17.91,17.17
2017-12-05,16.09,17.92,17.18
2017-12-06,16.1,17.93,17.19
2017-12-07,16.11,17.93,17.19
2017-12-08,16.11,17.94,17.2
2017-12-09,16.12,17.94,17.2
2017-12-10,16.12,17.94,17.2
2017-12-11,16.12,17.94,17.2
2017-12-12,16.13,17.95,17.21
2017-12-13,16.14,17.96,17.21
2017-12-14,16.15,17.97,17.22
2017-12-15,16.15,17.97,17.22
2017-12-16,16.16,17.97,17.23
2017-12-17,16.16,17.97,17.23
2017-12-18,16.16,17.98,17.23
2017-12-19,16.17,17.98,17.25
2017-12-20,16.18,17.99,17.26
2017-12-21,16.19,18,17.27
2017-12-22,16.2,18.01,17.28
2017-12-23,16.2,18.01,17.29
2017-12-24,16.2,18.01,17.3
2017-12-25,16.2,18.01,17.3
2017-12-26,16.21,18.02,17.3
2017-12-27,16.22,18.03,17.31
2017-12-28,16.23,18.04,17.32
2017-12-29,16.25,18.05,17.33
2017-12-30,16.27,18.08,17.35
2017-12-31,16.27,18.08,17.36
2018-01-01,16.28,18.09,17.37
2018-01-02,16.31,18.12,17.39
2018-01-03,16.33,18.14,17.42
2018-01-04,16.36,18.16,17.44
2018-01-05,16.39,18.2,17.48
2018-01-06,16.43,18.23,17.51
2018-01-07,16.43,18.23,17.52
2018-01-08,16.44,18.23,17.53
2018-01-09,16.47,18.26,17.56
2018-01-10,16.51,18.29,17.6
2018-01-11,16.56,18.33,17.64
2018-01-12,16.6,18.37,17.69
2018-01-13,16.65,18.41,17.73
2018-01-14,16.66,18.42,17.73
2018-01-15,16.66,18.42,17.74
2018-01-16,16.7,18.46,17.78
2018-01-17,16.74,18.49,17.81
2018-01-18,16.77,18.52,17.84
2018-01-19,16.81,18.55,17.87
2018-01-20,16.84,18.55,17.9
2018-01-21,16.85,18.56,17.91
2018-01-22,16.86,18.58,17.92
2018-01-23,16.89,18.61,17.95
2018-01-24,16.94,18.65,17.99
2018-01-25,16.98,18.69,18.04
2018-01-26,17.02,18.71,18.09
2018-01-27,17.04,18.75,18.13
2018-01-28,17.05,18.75,18.14
2018-01-29,17.06,18.76,18.15
2018-01-30,17.1,18.81,18.2
2018-01-31,17.14,18.85,18.24
2018-02-01,17.18,18.88,18.28
2018-02-02,17.22,18.93,18.32
2018-02-03,17.26,18.96,18.36
2018-02-04,17.27,18.97,18.37
2018-02-05,17.27,18.97,18.37
2018-02-06,17.3,18.99,18.4
2018-02-07,17.33,19,18.43
2018-02-08,17.34,19,18.43
2018-02-09,17.33,18.99,18.42
2018-02-10,17.33,18.99,18.42
2018-02-11,17.33,18.99,18.42
2018-02-12,17.33,18.99,18.42
2018-02-13,17.33,18.99,18.42
2018-02-14,17.33,18.98,18.42
2018-02-15,17.34,18.99,18.42
2018-02-16,17.35,19,18.43
2018-02-17,17.37,19.01,18.44
2018-02-18,17.37,19.01,18.44
2018-02-19,17.37,19.01,18.45
2018-02-20,17.38,19.01,18.46
2018-02-21,17.39,19.01,18.48
2018-02-22,17.4,19.01,18.5
2018-02-23,17.42,19.03,18.53
2018-02-24,17.44,19.04,18.55
2018-02-25,17.44,19.05,18.56
2018-02-26,17.45,19.05,18.56
2018-02-27,17.47,19.07,18.58
2018-02-28,17.49,19.09,18.61
2018-03-01,17.52,19.11,18.64
2018-03-02,17.53,19.12,18.65
2018-03-03,17.54,19.13,18.65
2018-03-04,17.54,19.13,18.65
2018-03-05,17.54,19.13,18.65
2018-03-06,17.54,19.13,18.66
2018-03-07,17.55,19.14,18.67
2018-03-08,17.55,19.14,18.67
2018-03-09,17.55,19.13,18.67
2018-03-10,17.55,19.14,18.67
2018-03-11,17.55,19.14,18.67
2018-03-12,17.55,19.14,18.67
2018-03-13,17.56,19.14,18.67
2018-03-14,17.56,19.14,18.67
2018-03-15,17.56,19.14,18.67
2018-03-16,17.57,19.14,18.68
2018-03-17,17.57,19.15,18.69
2018-03-18,17.58,19.15,18.69
2018-03-19,17.58,19.15,18.69
2018-03-20,17.58,19.16,18.69
2018-03-21,17.59,19.17,18.7
2018-03-22,17.6,19.17,18.71
2018-03-23,17.61,19.18,18.72
2018-03-24,17.62,19.19,18.73
2018-03-25,17.62,19.19,18.73
2018-03-26,17.63,19.19,18.73
2018-03-27,17.64,19.2,18.74
2018-03-28,17.64,19.21,18.74
2018-03-29,17.64,19.21,18.75
2018-03-30,17.64,19.21,18.75
2018-03-31,17.65,19.21,18.75
2018-04-01,17.65,19.21,18.75
2018-04-02,17.65,19.21,18.75
2018-04-03,17.65,19.21,18.75
2018-04-04,17.65,19.21,18.75
2018-04-05,17.65,19.21,18.75
2018-04-06,17.65,19.21,18.75
2018-04-07,17.65,19.21,18.75
2018-04-08,17.65,19.21,18.75
