Longitud,Latitud,ID_CRE,Razon_Social,Colonia,CP,Municipio,Entidad,Franquicia_Marca,Gas87,Gas91,Diesel
-108.9864,25.77663,2498,"SERVICIOS DEL VALLE DEL FUERTE, S. A. DE C. V.",BIENESTAR,81285,AHOME,Sinaloa,PEMEX,16.93,18.43,20.99
-100.9704,19.79169,2093,"GRUPO OCTANO, S. A. DE C. V.",INDAPARAPEO,58970,INDAPARAPEO,Michoacan,Octano,15.78,17.99,19.99
-108.9852,25.77709,2330,"SERVICIOS DEL VALLE DEL FUERTE, S. A. DE C. V.",ANTONIO TOLEDO CORRO,81285,AHOME,Sinaloa,PEMEX,16.93,18.43,20.99
-108.9428,25.79961,2466,"MULTISERVICIOS LA PILARICA, S. A. DE C. V.",ZONA INDUSTRIAL,81255,AHOME,Sinaloa,PEMEX,16.93,19.99,20.99
-109.2856,25.9744,2080,"MULTISERVICIOS LA PILARICA, S. A. DE C. V.",LOS MOCHIS,81278,AHOME,Sinaloa,PEMEX,16.9,17.99,19.99
-108.9828,25.77471,2551,"MULTISERVICIOS LA PILARICA, S. A. DE C. V.",FRACCIONAMIENTO ÁLAMOS I,81285,AHOME,Sinaloa,PEMEX,16.93,19.09,20.98
-101.1363,19.96015,2445,"GRUPO OCTANO, S. A. DE C. V.",CENTRO,58840,CUITZEO,Michoacan,Octano,15.48,16.44,19.49
-101.0389,19.82875,2288,"GRUPO OCTANO, S. A. DE C. V.",S/C,58920,ÁLVARO OBREGÓN,Michoacan,Octano,15.48,16.98,18.98
-109.0235,25.80817,2398,"MULTISERVICIOS LA PILARICA, S. A. DE C. V.",SINDICATURA CENTRAL,81250,AHOME,Sinaloa,PEMEX,16.89,18.89,19.99
-109.0028,25.81053,2132,"SERVICIOS DEL VALLE DEL FUERTE, S. A. DE C. V.",FRACCIONAMIENTO LOS SAUCES,81200,AHOME,Sinaloa,PEMEX,16.93,18.43,20.99
-101.0983,19.78714,2170,"GRUPO OCTANO, S. A. DE C. V.",MIGUEL HIDALGO,58891,TARÍMBARO,Michoacan,Octano,15.48,16.98,18.98
-100.8826,19.80758,2539,"GRUPO OCTANO, S. A. DE C. V.",CENTRO,58980,QUERÉNDARO,Michoacan,Octano,15.78,17.99,19.99
-104.883,21.49595,2208,"GRUPO OCTANO, S. A. DE C. V.",LAS AVES,63170,TEPIC,Nayarit,Octano,15.99,17.99,
-104.8868,21.52222,2095,"GRUPO OCTANO, S. A. DE C. V.",SAN JOSE,63030,TEPIC,Nayarit,Octano,16.99,17.99,20.49
-103.4485,20.70532,2331,"GRUPO OCTANO, S. A. DE C. V.",SAN JUAN OCOTAN,45019,ZAPOPAN,Jalisco,Octano,15.88,17.58,19.88
-103.4172,20.64037,2169,"GRUPO OCTANO, S. A. DE C. V.",EL COLLI URBANO 1A SECCIÓN,45070,ZAPOPAN,Jalisco,Octano,15.78,16.98,19.28
-104.9266,21.52014,2292,"GRUPO OCTANO, S. A. DE C. V.",RODEO DE LA PUNTA,63117,TEPIC,Nayarit,Octano,16.99,17.99,20.49
-105.2224,20.65418,2158,"GRUPO OCTANO, S. A. DE C. V.",BOBADILLA,48298,PUERTO VALLARTA,Jalisco,Octano,16.19,19.35,20.35
-105.3031,20.74488,2371,"GRUPO OCTANO, S. A. DE C. V.",BUCERIAS,63732,BAHÍA DE BANDERAS,Nayarit,Octano,15.7,19.35,20.35
-105.2558,20.74569,2565,"GRUPO OCTANO, S. A. DE C. V.",FRACCIONAMIENTO SAN VICENTE,63737,BAHÍA DE BANDERAS,Nayarit,Octano,16.49,19.35,20.35
-105.2634,21.0257,2237,"GRUPO OCTANO, S. A. DE C. V.",RINCÓN DE GUAYABITOS,63724,COMPOSTELA,Nayarit,Octano,16.19,17.79,20.35
-100.359,25.7197,2425,"PETROMAX, S. A. DE C. V.",VALLE DE LAS MITRAS,64300,MONTERREY,Nuevo Leon,Petro Seven,16.89,18.29,
-100.2683,25.60693,2465,"PETROMAX, S. A. DE C. V.",CORTIJO DEL RIO,64890,MONTERREY,Nuevo Leon,Petro Seven,16.19,17.19,
-100.3682,25.67366,2121,"PETROMAX, S. A. DE C. V.",MIRAVALLE,64660,MONTERREY,Nuevo Leon,Petro Seven,16.59,17.99,
-100.1985,25.75267,2485,"PETROMAX, S. A. DE C. V.",PARQUE INDUSTRIAL MILIMEX,66637,APODACA,Nuevo Leon,Petro Seven,16.89,18.29,
-98.29991,26.08213,2183,"PETROMAX, S. A. DE C. V.",SIMON RODRIGUEZ,88670,REYNOSA,Tamaulipas,Petro Seven,12.29,14.19,
-99.20648,19.54421,2325,"PETROMAX, S. A. DE C. V.",INSTRUSTRIA TLALNEPANTLA,54030,TLALNEPANTLA DE BAZ,Estado de Mexico,Petro Seven,14.99,15.99,19.69
-99.17842,19.52987,2344,"PETROMAX, S. A. DE C. V.",LA JOYA ITZACALA,54160,TLALNEPANTLA DE BAZ,Estado de Mexico,Petro Seven,15.79,16.59,
-100.2656,25.68003,2417,"PETROMAX, S. A. DE C. V.",ZONA CENTRO,67100,GUADALUPE,Nuevo Leon,Petro Seven,14.69,16.49,
-100.2634,25.71057,2489,"PETROMAX, S. A. DE C. V.",CORRAL DE PIEDRA,66490,SAN NICOLÁS DE LOS GARZA,Nuevo Leon,Petro Seven,14.99,16.89,
-100.846,25.44611,2263,"PETROMAX, S. A. DE C. V.",ZONA CENTRO,25000,ARTEAGA,Coahuila,Petro Seven,15.49,16.79,
-99.23218,19.47735,2176,"PETROMAX, S. A. DE C. V.",CENTRO,53000,NAUCALPAN DE JUÁREZ,Estado de Mexico,Petro Seven,15.29,20.06,
-100.8062,25.42695,2555,"PETROMAX, S. A. DE C. V.",S/C,25320,ARTEAGA,Coahuila,Petro Seven,15.49,16.79,19.19
-100.1731,25.62543,2400,"PETROMAX, S. A. DE C. V.",SANTA ISABEL,67280,JUÁREZ,Nuevo Leon,Petro Seven,15.49,16.99,
-100.9463,25.53754,2346,"PETROMAX, S. A. DE C. V.",CAPELLINA,25208,RAMOS ARIZPE,Coahuila,Petro Seven,15.39,16.29,
-100.2918,25.77202,2046,"PETROMAX, S. A. DE C. V.",EX HACIENDA EL CANADA,66050,GENERAL ESCOBEDO,Nuevo Leon,Petro Seven,16.89,18.29,19.49
-100.1889,25.49524,2469,"PETROMAX, S. A. DE C. V.",EL YERBANIZ,67302,SANTIAGO,Nuevo Leon,Petro Seven,16.89,18.29,
-100.2766,25.70874,2486,"PETROMAX, S. A. DE C. V.",INDUSTRIAL NOGALAR,64510,SAN NICOLÁS DE LOS GARZA,Nuevo Leon,Petro Seven,14.99,16.89,19.89
-98.32571,26.07711,2414,"PETROMAX, S. A. DE C. V.",VILLAD DE LOS NOGALES,88740,REYNOSA,Tamaulipas,Petro Seven,12.29,14.19,
-98.32712,26.06297,2069,"PETROMAX, S. A. DE C. V.",CUMBRES,88740,REYNOSA,Tamaulipas,Petro Seven,12.29,14.19,
-100.3207,25.66751,2459,"PETROMAX, S. A. DE C. V.",ZONA CENTRO,64000,MONTERREY,Nuevo Leon,Petro Seven,16.19,17.89,
-100.1526,25.7325,2510,"PETROMAX, S. A. DE C. V.",ZONA CENTRO,67300,SANTIAGO,Nuevo Leon,Petro Seven,16.69,18.09,
-100.9836,25.45791,2490,"PETROMAX, S. A. DE C. V.",VILLA OLIMPICA ORIENTE,25230,SALTILLO,Coahuila,Petro Seven,15.09,16.59,
-100.4386,25.67901,2429,"PETROMAX, S. A. DE C. V.",HACIENDA LOS PORTALES,66145,SANTA CATARINA,Nuevo Leon,Petro Seven,15.99,17.79,
-100.2944,25.81873,2127,"PETROMAX, S. A. DE C. V.",SOCRATES RIZO,66050,GENERAL ESCOBEDO,Nuevo Leon,Petro Seven,16.69,17.89,
-116.5928,31.79353,2308,"PETROMAX, S. A. DE C. V.",EX EJIDO CHAPULTEPEC II,22785,ENSENADA,Baja California,Petro Seven,14.19,15.79,
-100.1586,25.78579,2181,"PETROMAX, S. A. DE C. V.",AGUA FRIA,66600,APODACA,Nuevo Leon,Petro Seven,16.59,17.99,
-100.2104,25.73217,2100,"PETROMAX, S. A. DE C. V.",LA ENCARNACIÓN,66633,APODACA,Nuevo Leon,Petro Seven,16.89,18.29,
-103.2545,20.61732,2431,"PETROMAX, S. A. DE C. V.",SANTA CRUZ DE LAS HUERTA,44130,TONALÁ,Jalisco,Petro Seven,15.49,16.49,
-98.29163,26.05218,2340,"PETROMAX, S. A. DE C. V.",LA PRESA,88750,REYNOSA,Tamaulipas,Petro Seven,12.29,14.19,
-98.20425,26.0139,2057,"PETROMAX, S. A. DE C. V.",EJIDO EL GUERREÑO,88500,REYNOSA,Tamaulipas,Petro Seven,12.29,14.19,
-100.4806,25.68477,2314,"PETROMAX, S. A. DE C. V.",PUERTA DEL SOL,66358,SANTA CATARINA,Nuevo Leon,Petro Seven,15.79,17.89,
-100.9761,25.45598,2313,"PETROMAX, S. A. DE C. V.",LOS ALPES,25000,SALTILLO,Coahuila,Petro Seven,14.99,16.39,
-117.0592,32.36537,2464,"PETROMAX, S. A. DE C. V.",MACHADO NORTE,22710,PLAYAS DE ROSARITO,Baja California,Petro Seven,13.99,15.49,
-100.1629,25.70878,2201,"PETROMAX, S. A. DE C. V.",LOS VITRALES,66647,APODACA,Nuevo Leon,Petro Seven,14.99,16.49,
-101.0064,25.45446,2451,"PETROMAX, S. A. DE C. V.",HACIENDA SAN RAFAEL,25113,SALTILLO,Coahuila,Petro Seven,15.49,16.79,
-98.22788,26.04685,2368,"PETROMAX, S. A. DE C. V.",LOMA BLANCA,88780,REYNOSA,Tamaulipas,Petro Seven,12.29,14.19,
-100.1733,25.69495,2559,"PETROMAX, S. A. DE C. V.",JARDINES DE GUADALUPE,67114,GUADALUPE,Nuevo Leon,Petro Seven,16.69,18.09,
-100.2444,25.73667,2318,"PETROMAX, S. A. DE C. V.",FRACCIONAMIENTO CFE,66450,SAN NICOLÁS DE LOS GARZA,Nuevo Leon,Petro Seven,16.89,18.29,
-100.1361,25.65684,2494,"PETROMAX, S. A. DE C. V.",LAS SABINAS,67250,JUÁREZ,Nuevo Leon,Petro Seven,14.69,16.49,
-100.0302,25.28464,2148,"PETROMAX, S. A. DE C. V.",S/C,67350,ALLENDE,Nuevo Leon,Petro Seven,16.89,18.29,
-103.4519,20.73139,2083,"PETROMAX, S. A. DE C. V.",ZAPOPAN,45140,ZAPOPAN,Jalisco,Petro Seven,15.99,16.99,
-100.174,25.73397,2177,"PETROMAX, S. A. DE C. V.",FRACCIONAMIENTO SAN MIGUEL 3ER. SECTOR,66640,APODACA,Nuevo Leon,Petro Seven,16.89,18.09,
-98.39253,26.04565,2150,"PETROMAX, S. A. DE C. V.",PRIVADA DE LAS BUGAMBILIAS,88654,REYNOSA,Tamaulipas,Petro Seven,12.29,14.19,
-98.30024,26.04308,2543,"PETROMAX, S. A. DE C. V.",JACINTO LÓPEZ,88756,REYNOSA,Tamaulipas,Petro Seven,12.29,14.19,
-100.4128,25.76333,2255,"PETROMAX, S. A. DE C. V.",RESIDENCIAL PUERTA DE HIERRO,64670,MONTERREY,Nuevo Leon,Petro Seven,15.49,16.49,
-103.4232,25.54993,2554,"PETROMAX, S. A. DE C. V.",ABASTOS,27020,TORREÓN,Coahuila,Petro Seven,15.79,16.89,19.79
-103.4788,25.56364,2430,"PETROMAX, S. A. DE C. V.",PARQUE INDUSTRIAL,35077,GÓMEZ PALACIO,Durango,Petro Seven,16.09,17.09,19.79
-99.07513,19.3335,2531,"PETROMAX, S. A. DE C. V.",SAN JUAN XALPA,9850,IZTAPALAPA,Ciudad de Mexico,Petro Seven,15.79,16.89,
-100.4262,25.67491,2538,"PETROMAX, S. A. DE C. V.",LA FAMA SANTA CATARINA,66100,SANTA CATARINA,Nuevo Leon,Petro Seven,16.39,17.89,
-100.1769,25.66857,2556,"PETROMAX, S. A. DE C. V.",INDUSTRIAL DE LA SILLA,67199,GUADALUPE,Nuevo Leon,Petro Seven,14.69,16.49,
-98.35052,26.04279,2387,"PETROMAX, S. A. DE C. V.",REAL DE JARACHINA,88500,REYNOSA,Tamaulipas,Petro Seven,12.29,14.19,
-100.9133,25.43487,2138,"PETROMAX, S. A. DE C. V.",LOS ZACATONES,25019,SALTILLO,Coahuila,Petro Seven,15.49,16.79,
-97.53786,25.85833,2116,"PETROMAX, S. A. DE C. V.",HACIENDA QUINTA REAL,87345,MATAMOROS,Tamaulipas,Petro Seven,11.49,13.79,
-106.1335,28.68869,2249,"PETROMAX, S. A. DE C. V.",LOMA DORADA,31124,CHIHUAHUA,Chihuahua,Petro Seven,15.39,16.89,19.39
-98.32028,26.05507,2333,"PETROMAX, S. A. DE C. V.",LAS FUENTES SECTOR LOMAS,88710,REYNOSA,Tamaulipas,Petro Seven,12.09,14.09,
-106.1422,28.70224,2348,"PETROMAX, S. A. DE C. V.",VILLAS DEL SOL,31124,CHIHUAHUA,Chihuahua,Petro Seven,15.19,16.79,
-100.1764,25.69438,2370,"PETROMAX, S. A. DE C. V.",JARDINES DE GUADALUPE,67116,GUADALUPE,Nuevo Leon,Petro Seven,16.69,18.09,
-100.219,25.53799,2332,"PETROMAX, S. A. DE C. V.",LOS CRISTALES,67300,MONTERREY,Nuevo Leon,Petro Seven,16.89,18.29,
-98.31638,26.06835,2139,"PETROMAX, S. A. DE C. V.",LAS FUENTES REYNOSA,88710,REYNOSA,Tamaulipas,Petro Seven,12.29,14.19,
-99.2421,19.56659,2442,"PETROMAX, S. A. DE C. V.",SAN JUAN BOSCO,52946,ATIZAPÁN DE ZARAGOZA,Estado de Mexico,Petro Seven,15.29,16.09,
-100.9813,25.48239,2151,"PETROMAX, S. A. DE C. V.",LAS BRISAS,25210,SALTILLO,Coahuila,Petro Seven,14.99,15.69,19.09
-100.1952,25.69145,2284,"PETROMAX, S. A. DE C. V.",ANTERIOR HACIENDA LINARITOS,67116,GUADALUPE,Nuevo Leon,Petro Seven,16.69,18.09,
-100.24,25.85541,2462,"PETROMAX, S. A. DE C. V.",S/C,66600,APODACA,Nuevo Leon,Petro Seven,16.69,18.19,19.89
-100.9607,25.47087,2296,"PETROMAX, S. A. DE C. V.",VALLE REAL 1ER. SECTOR,25205,SALTILLO,Coahuila,Petro Seven,15.09,16.59,
-100.1759,25.7805,2082,"PETROMAX, S. A. DE C. V.",PARQUE INDUSTRIAL PROLOGIS PARK,66600,APODACA,Nuevo Leon,Petro Seven,16.59,17.99,
-106.0694,28.65146,2130,"PETROMAX, S. A. DE C. V.",SANTO NIÑO,31200,CHIHUAHUA,Chihuahua,Petro Seven,14.99,16.99,19.29
-97.47758,25.86598,2388,"PETROMAX, S. A. DE C. V.",LAS ARBOLEDAS,87448,MATAMOROS,Tamaulipas,Petro Seven,11.49,13.79,
-100.1685,25.71746,2122,"PETROMAX, S. A. DE C. V.",HACIENDA SAN MIGUEL,66649,APODACA,Nuevo Leon,Petro Seven,16.19,17.79,
-98.3122,26.06018,2392,"PETROMAX, S. A. DE C. V.",S/C,88710,REYNOSA,Tamaulipas,Petro Seven,12.29,14.19,
-100.2887,25.71853,2152,"PETROMAX, S. A. DE C. V.",INDUSTRIAL NOGALAR,66484,SAN NICOLÁS DE LOS GARZA,Nuevo Leon,Petro Seven,14.99,16.89,
-98.29279,26.08957,2239,"PETROMAX, S. A. DE C. V.",RIBEREÑA,88620,REYNOSA,Tamaulipas,Petro Seven,12.29,14.19,
-100.8398,25.61303,2367,"PETROMAX, S. A. DE C. V.",OJO CALIENTE,25900,RAMOS ARIZPE,Coahuila,Petro Seven,15.49,16.79,19.19
-100.7924,19.90187,2118,"GRUPO OCTANO, S. A. DE C. V.",ARARÓ,58950,ZINAPÉCUARO,Michoacan,Octano,15.54,16.98,18.98
-101.1903,19.72294,2518,"GRUPO OCTANO, S. A. DE C. V.",FRANCISCO J. MUJICA,58118,MORELIA,Michoacan,Octano,15.54,15.98,19.98
-99.16546,19.63085,2438,"PETROMAX, S. A. DE C. V.",TULTITLÁN,54900,TULTITLÁN,Estado de Mexico,Petro Seven,14.99,16.89,19.09
-101.15,19.69432,2529,"GRUPO OCTANO, S. A. DE C. V.",POBLADO OCOLUSEN,58270,MORELIA,Michoacan,Octano,15.48,15.98,
-101.1592,20.20225,2159,"GRUPO OCTANO, S. A. DE C. V.",S/C,38940,YURIRIA,Guanajuato,Octano,15.58,16.44,19.45
-104.8922,21.47978,2354,"GRUPO OCTANO, S. A. DE C. V.",MIRAVALLES,63180,TEPIC,Nayarit,Octano,16.99,17.99,
-103.4529,20.6932,2356,"GRUPO OCTANO, S. A. DE C. V.",CD. GRANJA,45010,ZAPOPAN,Jalisco,Octano,16.27,18.17,
-104.2044,19.80471,2207,"GRUPO OCTANO, S. A. DE C. V.",S/C,48740,EL GRULLO,Jalisco,Octano,17.28,18.33,20.34
-103.9754,19.77838,2061,"GRUPO OCTANO, S. A. DE C. V.",S/C,48760,TONAYA,Jalisco,Octano,17.48,18.49,20.64
-104.904,21.52525,2364,"GRUPO OCTANO, S. A. DE C. V.",ADOLFO LÓPEZ MATEOS,63021,TEPIC,Nayarit,Octano,16.39,17.99,20.49
-105.276,20.71072,2475,"GRUPO OCTANO, S. A. DE C. V.",S/C,63738,BAHÍA DE BANDERAS,Nayarit,Octano,16.19,19.35,20.35
-105.2228,20.62714,2386,"GRUPO OCTANO, S. A. DE C. V.",BARRIO SANTA MARIA,48324,PUERTO VALLARTA,Jalisco,Octano,16.49,19.35,
-105.3746,20.76066,2295,"GRUPO OCTANO, S. A. DE C. V.",S/C,63732,TEPIC,Nayarit,Octano,16.19,19.35,20.35
-103.4574,25.55805,2162,"PETROMAX, S. A. DE C. V.",S/C,35078,GÓMEZ PALACIO,Durango,Petro Seven,16.19,20.75,19.79
-98.37744,26.05263,2341,"PETROMAX, S. A. DE C. V.",GRANJAS ECONOMICAS DEL NORTE,88730,REYNOSA,Tamaulipas,Petro Seven,12.29,14.19,
